original,item_as_in_the_list,item_type,item_genus,genre,object_form,object_genus,autor,title,ident,time,Edition,publisher_all,publishing,media,web-media,person_public,city_of_publication,year_of_publication,storage_medium,Узкая оценка,Узкая оценка-2,Доп. подробности,Сомнительность,url,court,date_of_design,add_date,lemmatized,predicted
"Аудио и видеоматериалы, размещенные на персональной странице «Димас Волошин в социальной сети «В контакте», а именно: видеофайл «0abc3bll50cc-136345083.vk.flv», видеофайл «0ba556dbel.flv», аудиофайл «3bdca2a5ae72.mp3», видеофайл «3d5976833e03-81899545.vk.flv», видеофайл «7abd2853fl.flv», видеофайл «8ce707c41534-66234873.vk.flv», видеофайл «9ba749cb04.240.mp4», видеофайл «13e3130ed5.240.mp4», видеофайл «21db5217fbf9-1114205095.vk.flv», видеофайл «23edb54be47e-134611442.vk.flv», аудиофайл «35ac8512a9aa.mp3», аудиофайл «235dc10525c3.mp3», видеофайл «823fd39314.240.mp4», видеофайл «01526a0a5af2-107280514.vk.flv», видеофайл «b785896f56d8-118227305.vk.flv», видеофайл «c7095125dl93-242724.vk,flv», аудиофайл «cb9eaa71184a.mp3», видеофайл «dlf30f3e9b.240.mp4», видеофайл «d61e4c32a775-74051905.vk.flv», видеофайл «e82e51a84e.360.mp4», видеофайл «f4c06dc627.480.mp4»",Видеофайл,Видеоролик,Видеоролик,Публицистика,видео,файл,,"видеофайл ""7abd2853fl. flv"" ",0.0,,,Волошин Д.,,,vk.com,Волошин Д.,,,Удаленный сервер,???,,,0.0,vk.com,Заречный районный суд Свердловской области,2014-03-06 00:00:00,2018-12-05,персональный социальный димас видеоматериал видеофайл контакт волошин сеть аудиофайл страница аудио размещать,Национальная рознь
"Аудио и видеоматериалы, размещенные на персональной странице «Димас Волошин в социальной сети «В контакте», а именно: видеофайл «0abc3bll50cc-136345083.vk.flv», видеофайл «0ba556dbel.flv», аудиофайл «3bdca2a5ae72.mp3», видеофайл «3d5976833e03-81899545.vk.flv», видеофайл «7abd2853fl.flv», видеофайл «8ce707c41534-66234873.vk.flv», видеофайл «9ba749cb04.240.mp4», видеофайл «13e3130ed5.240.mp4», видеофайл «21db5217fbf9-1114205095.vk.flv», видеофайл «23edb54be47e-134611442.vk.flv», аудиофайл «35ac8512a9aa.mp3», аудиофайл «235dc10525c3.mp3», видеофайл «823fd39314.240.mp4», видеофайл «01526a0a5af2-107280514.vk.flv», видеофайл «b785896f56d8-118227305.vk.flv», видеофайл «c7095125dl93-242724.vk,flv», аудиофайл «cb9eaa71184a.mp3», видеофайл «dlf30f3e9b.240.mp4», видеофайл «d61e4c32a775-74051905.vk.flv», видеофайл «e82e51a84e.360.mp4», видеофайл «f4c06dc627.480.mp4»",Видеофайл,Видеоролик,Видеоролик,Публицистика,видео,файл,,"видеофайл ""8ce707c41534-66234873. vk. flv"" ",0.0,,,Волошин Д.,,,vk.com,Волошин Д.,,,Удаленный сервер,???,,,0.0,vk.com,Заречный районный суд Свердловской области,2014-03-06 00:00:00,2018-12-05,персональный социальный димас видеоматериал видеофайл контакт волошин сеть аудиофайл страница аудио размещать,Национальная рознь
"Аудио и видеоматериалы, размещенные на персональной странице «Димас Волошин в социальной сети «В контакте», а именно: видеофайл «0abc3bll50cc-136345083.vk.flv», видеофайл «0ba556dbel.flv», аудиофайл «3bdca2a5ae72.mp3», видеофайл «3d5976833e03-81899545.vk.flv», видеофайл «7abd2853fl.flv», видеофайл «8ce707c41534-66234873.vk.flv», видеофайл «9ba749cb04.240.mp4», видеофайл «13e3130ed5.240.mp4», видеофайл «21db5217fbf9-1114205095.vk.flv», видеофайл «23edb54be47e-134611442.vk.flv», аудиофайл «35ac8512a9aa.mp3», аудиофайл «235dc10525c3.mp3», видеофайл «823fd39314.240.mp4», видеофайл «01526a0a5af2-107280514.vk.flv», видеофайл «b785896f56d8-118227305.vk.flv», видеофайл «c7095125dl93-242724.vk,flv», аудиофайл «cb9eaa71184a.mp3», видеофайл «dlf30f3e9b.240.mp4», видеофайл «d61e4c32a775-74051905.vk.flv», видеофайл «e82e51a84e.360.mp4», видеофайл «f4c06dc627.480.mp4»",Видеофайл,Видеоролик,Видеоролик,Публицистика,видео,файл,,"видеофайл ""9ba749cb04. 240. mp4"" ",0.0,,,Волошин Д.,,,vk.com,Волошин Д.,,,Удаленный сервер,???,,,0.0,vk.com,Заречный районный суд Свердловской области,2014-03-06 00:00:00,2018-12-05,персональный социальный димас видеоматериал видеофайл контакт волошин сеть аудиофайл страница аудио размещать,Национальная рознь
"Аудио и видеоматериалы, размещенные на персональной странице «Димас Волошин в социальной сети «В контакте», а именно: видеофайл «0abc3bll50cc-136345083.vk.flv», видеофайл «0ba556dbel.flv», аудиофайл «3bdca2a5ae72.mp3», видеофайл «3d5976833e03-81899545.vk.flv», видеофайл «7abd2853fl.flv», видеофайл «8ce707c41534-66234873.vk.flv», видеофайл «9ba749cb04.240.mp4», видеофайл «13e3130ed5.240.mp4», видеофайл «21db5217fbf9-1114205095.vk.flv», видеофайл «23edb54be47e-134611442.vk.flv», аудиофайл «35ac8512a9aa.mp3», аудиофайл «235dc10525c3.mp3», видеофайл «823fd39314.240.mp4», видеофайл «01526a0a5af2-107280514.vk.flv», видеофайл «b785896f56d8-118227305.vk.flv», видеофайл «c7095125dl93-242724.vk,flv», аудиофайл «cb9eaa71184a.mp3», видеофайл «dlf30f3e9b.240.mp4», видеофайл «d61e4c32a775-74051905.vk.flv», видеофайл «e82e51a84e.360.mp4», видеофайл «f4c06dc627.480.mp4»",Видеофайл,Видеоролик,Видеоролик,Публицистика,видео,файл,,"видеофайл ""13e3130ed5. 240. mp4"" ",0.0,,,Волошин Д.,,,vk.com,Волошин Д.,,,Удаленный сервер,???,,,0.0,vk.com,Заречный районный суд Свердловской области,2014-03-06 00:00:00,2018-12-05,персональный социальный димас видеоматериал видеофайл контакт волошин сеть аудиофайл страница аудио размещать,Национальная рознь
"Аудио и видеоматериалы, размещенные на персональной странице «Димас Волошин в социальной сети «В контакте», а именно: видеофайл «0abc3bll50cc-136345083.vk.flv», видеофайл «0ba556dbel.flv», аудиофайл «3bdca2a5ae72.mp3», видеофайл «3d5976833e03-81899545.vk.flv», видеофайл «7abd2853fl.flv», видеофайл «8ce707c41534-66234873.vk.flv», видеофайл «9ba749cb04.240.mp4», видеофайл «13e3130ed5.240.mp4», видеофайл «21db5217fbf9-1114205095.vk.flv», видеофайл «23edb54be47e-134611442.vk.flv», аудиофайл «35ac8512a9aa.mp3», аудиофайл «235dc10525c3.mp3», видеофайл «823fd39314.240.mp4», видеофайл «01526a0a5af2-107280514.vk.flv», видеофайл «b785896f56d8-118227305.vk.flv», видеофайл «c7095125dl93-242724.vk,flv», аудиофайл «cb9eaa71184a.mp3», видеофайл «dlf30f3e9b.240.mp4», видеофайл «d61e4c32a775-74051905.vk.flv», видеофайл «e82e51a84e.360.mp4», видеофайл «f4c06dc627.480.mp4»",Видеофайл,Видеоролик,Видеоролик,Публицистика,видео,файл,,"видеофайл ""21db5217fbf9-1114205095. vk. flv"" ",0.0,,,Волошин Д.,,,vk.com,Волошин Д.,,,Удаленный сервер,???,,,0.0,vk.com,Заречный районный суд Свердловской области,2014-03-06 00:00:00,2018-12-05,персональный социальный димас видеоматериал видеофайл контакт волошин сеть аудиофайл страница аудио размещать,Национальная рознь
"Аудио и видеоматериалы, размещенные на персональной странице «Димас Волошин в социальной сети «В контакте», а именно: видеофайл «0abc3bll50cc-136345083.vk.flv», видеофайл «0ba556dbel.flv», аудиофайл «3bdca2a5ae72.mp3», видеофайл «3d5976833e03-81899545.vk.flv», видеофайл «7abd2853fl.flv», видеофайл «8ce707c41534-66234873.vk.flv», видеофайл «9ba749cb04.240.mp4», видеофайл «13e3130ed5.240.mp4», видеофайл «21db5217fbf9-1114205095.vk.flv», видеофайл «23edb54be47e-134611442.vk.flv», аудиофайл «35ac8512a9aa.mp3», аудиофайл «235dc10525c3.mp3», видеофайл «823fd39314.240.mp4», видеофайл «01526a0a5af2-107280514.vk.flv», видеофайл «b785896f56d8-118227305.vk.flv», видеофайл «c7095125dl93-242724.vk,flv», аудиофайл «cb9eaa71184a.mp3», видеофайл «dlf30f3e9b.240.mp4», видеофайл «d61e4c32a775-74051905.vk.flv», видеофайл «e82e51a84e.360.mp4», видеофайл «f4c06dc627.480.mp4»",Видеофайл,Видеоролик,Видеоролик,Публицистика,видео,файл,,"видеофайл ""23edb54be47e-134611442. vk. flv"" ",0.0,,,Волошин Д.,,,vk.com,Волошин Д.,,,Удаленный сервер,???,,,0.0,vk.com,Заречный районный суд Свердловской области,2014-03-06 00:00:00,2018-12-05,персональный социальный димас видеоматериал видеофайл контакт волошин сеть аудиофайл страница аудио размещать,Национальная рознь
"Аудио и видеоматериалы, размещенные на персональной странице «Димас Волошин в социальной сети «В контакте», а именно: видеофайл «0abc3bll50cc-136345083.vk.flv», видеофайл «0ba556dbel.flv», аудиофайл «3bdca2a5ae72.mp3», видеофайл «3d5976833e03-81899545.vk.flv», видеофайл «7abd2853fl.flv», видеофайл «8ce707c41534-66234873.vk.flv», видеофайл «9ba749cb04.240.mp4», видеофайл «13e3130ed5.240.mp4», видеофайл «21db5217fbf9-1114205095.vk.flv», видеофайл «23edb54be47e-134611442.vk.flv», аудиофайл «35ac8512a9aa.mp3», аудиофайл «235dc10525c3.mp3», видеофайл «823fd39314.240.mp4», видеофайл «01526a0a5af2-107280514.vk.flv», видеофайл «b785896f56d8-118227305.vk.flv», видеофайл «c7095125dl93-242724.vk,flv», аудиофайл «cb9eaa71184a.mp3», видеофайл «dlf30f3e9b.240.mp4», видеофайл «d61e4c32a775-74051905.vk.flv», видеофайл «e82e51a84e.360.mp4», видеофайл «f4c06dc627.480.mp4»",Аудиофайл,Музыкальная композиция,Текст песни,Художественный текст,аудио,файл,not identified,"аудиофайл ""35ac8512a9aa. mp3"", ",0.0,,,Волошин Д.,,,vk.com,Волошин Д.,,,Удаленный сервер,???,,,0.0,vk.com,Заречный районный суд Свердловской области,2014-03-06 00:00:00,2018-12-05,персональный социальный димас видеоматериал видеофайл контакт волошин сеть аудиофайл страница аудио размещать,Национальная рознь
"Аудио и видеоматериалы, размещенные на персональной странице «Димас Волошин в социальной сети «В контакте», а именно: видеофайл «0abc3bll50cc-136345083.vk.flv», видеофайл «0ba556dbel.flv», аудиофайл «3bdca2a5ae72.mp3», видеофайл «3d5976833e03-81899545.vk.flv», видеофайл «7abd2853fl.flv», видеофайл «8ce707c41534-66234873.vk.flv», видеофайл «9ba749cb04.240.mp4», видеофайл «13e3130ed5.240.mp4», видеофайл «21db5217fbf9-1114205095.vk.flv», видеофайл «23edb54be47e-134611442.vk.flv», аудиофайл «35ac8512a9aa.mp3», аудиофайл «235dc10525c3.mp3», видеофайл «823fd39314.240.mp4», видеофайл «01526a0a5af2-107280514.vk.flv», видеофайл «b785896f56d8-118227305.vk.flv», видеофайл «c7095125dl93-242724.vk,flv», аудиофайл «cb9eaa71184a.mp3», видеофайл «dlf30f3e9b.240.mp4», видеофайл «d61e4c32a775-74051905.vk.flv», видеофайл «e82e51a84e.360.mp4», видеофайл «f4c06dc627.480.mp4»",Аудиофайл,Музыкальная композиция,Текст песни,Художественный текст,аудио,файл,not identified,"аудиофайл ""235dc10525c3. mp3"", ",0.0,,,Волошин Д.,,,vk.com,Волошин Д.,,,Удаленный сервер,???,,,0.0,vk.com,Заречный районный суд Свердловской области,2014-03-06 00:00:00,2018-12-05,персональный социальный димас видеоматериал видеофайл контакт волошин сеть аудиофайл страница аудио размещать,Национальная рознь
"Аудио и видеоматериалы, размещенные на персональной странице «Димас Волошин в социальной сети «В контакте», а именно: видеофайл «0abc3bll50cc-136345083.vk.flv», видеофайл «0ba556dbel.flv», аудиофайл «3bdca2a5ae72.mp3», видеофайл «3d5976833e03-81899545.vk.flv», видеофайл «7abd2853fl.flv», видеофайл «8ce707c41534-66234873.vk.flv», видеофайл «9ba749cb04.240.mp4», видеофайл «13e3130ed5.240.mp4», видеофайл «21db5217fbf9-1114205095.vk.flv», видеофайл «23edb54be47e-134611442.vk.flv», аудиофайл «35ac8512a9aa.mp3», аудиофайл «235dc10525c3.mp3», видеофайл «823fd39314.240.mp4», видеофайл «01526a0a5af2-107280514.vk.flv», видеофайл «b785896f56d8-118227305.vk.flv», видеофайл «c7095125dl93-242724.vk,flv», аудиофайл «cb9eaa71184a.mp3», видеофайл «dlf30f3e9b.240.mp4», видеофайл «d61e4c32a775-74051905.vk.flv», видеофайл «e82e51a84e.360.mp4», видеофайл «f4c06dc627.480.mp4»",Видеофайл,Видеоролик,Видеоролик,Публицистика,видео,файл,,"видеофайл ""823fd39314. 240. mp4"" ",0.0,,,Волошин Д.,,,vk.com,Волошин Д.,,,Удаленный сервер,???,,,0.0,vk.com,Заречный районный суд Свердловской области,2014-03-06 00:00:00,2018-12-05,персональный социальный димас видеоматериал видеофайл контакт волошин сеть аудиофайл страница аудио размещать,Национальная рознь
"Аудио и видеоматериалы, размещенные на персональной странице «Димас Волошин в социальной сети «В контакте», а именно: видеофайл «0abc3bll50cc-136345083.vk.flv», видеофайл «0ba556dbel.flv», аудиофайл «3bdca2a5ae72.mp3», видеофайл «3d5976833e03-81899545.vk.flv», видеофайл «7abd2853fl.flv», видеофайл «8ce707c41534-66234873.vk.flv», видеофайл «9ba749cb04.240.mp4», видеофайл «13e3130ed5.240.mp4», видеофайл «21db5217fbf9-1114205095.vk.flv», видеофайл «23edb54be47e-134611442.vk.flv», аудиофайл «35ac8512a9aa.mp3», аудиофайл «235dc10525c3.mp3», видеофайл «823fd39314.240.mp4», видеофайл «01526a0a5af2-107280514.vk.flv», видеофайл «b785896f56d8-118227305.vk.flv», видеофайл «c7095125dl93-242724.vk,flv», аудиофайл «cb9eaa71184a.mp3», видеофайл «dlf30f3e9b.240.mp4», видеофайл «d61e4c32a775-74051905.vk.flv», видеофайл «e82e51a84e.360.mp4», видеофайл «f4c06dc627.480.mp4»",Видеофайл,Видеоролик,Видеоролик,Публицистика,видео,файл,,"видеофайл ""01526a0a5af2-107280514. vk. flv"" ",0.0,,,Волошин Д.,,,vk.com,Волошин Д.,,,Удаленный сервер,???,,,0.0,vk.com,Заречный районный суд Свердловской области,2014-03-06 00:00:00,2018-12-05,персональный социальный димас видеоматериал видеофайл контакт волошин сеть аудиофайл страница аудио размещать,Национальная рознь
"Аудио и видеоматериалы, размещенные на персональной странице «Димас Волошин в социальной сети «В контакте», а именно: видеофайл «0abc3bll50cc-136345083.vk.flv», видеофайл «0ba556dbel.flv», аудиофайл «3bdca2a5ae72.mp3», видеофайл «3d5976833e03-81899545.vk.flv», видеофайл «7abd2853fl.flv», видеофайл «8ce707c41534-66234873.vk.flv», видеофайл «9ba749cb04.240.mp4», видеофайл «13e3130ed5.240.mp4», видеофайл «21db5217fbf9-1114205095.vk.flv», видеофайл «23edb54be47e-134611442.vk.flv», аудиофайл «35ac8512a9aa.mp3», аудиофайл «235dc10525c3.mp3», видеофайл «823fd39314.240.mp4», видеофайл «01526a0a5af2-107280514.vk.flv», видеофайл «b785896f56d8-118227305.vk.flv», видеофайл «c7095125dl93-242724.vk,flv», аудиофайл «cb9eaa71184a.mp3», видеофайл «dlf30f3e9b.240.mp4», видеофайл «d61e4c32a775-74051905.vk.flv», видеофайл «e82e51a84e.360.mp4», видеофайл «f4c06dc627.480.mp4»",Видеофайл,Видеоролик,Видеоролик,Публицистика,видео,файл,,"видеофайл ""b785896f56d8-118227305. vk. flv"" ",0.0,,,Волошин Д.,,,vk.com,Волошин Д.,,,Удаленный сервер,???,,,0.0,vk.com,Заречный районный суд Свердловской области,2014-03-06 00:00:00,2018-12-05,персональный социальный димас видеоматериал видеофайл контакт волошин сеть аудиофайл страница аудио размещать,Национальная рознь
"Аудио и видеоматериалы, размещенные на персональной странице «Димас Волошин в социальной сети «В контакте», а именно: видеофайл «0abc3bll50cc-136345083.vk.flv», видеофайл «0ba556dbel.flv», аудиофайл «3bdca2a5ae72.mp3», видеофайл «3d5976833e03-81899545.vk.flv», видеофайл «7abd2853fl.flv», видеофайл «8ce707c41534-66234873.vk.flv», видеофайл «9ba749cb04.240.mp4», видеофайл «13e3130ed5.240.mp4», видеофайл «21db5217fbf9-1114205095.vk.flv», видеофайл «23edb54be47e-134611442.vk.flv», аудиофайл «35ac8512a9aa.mp3», аудиофайл «235dc10525c3.mp3», видеофайл «823fd39314.240.mp4», видеофайл «01526a0a5af2-107280514.vk.flv», видеофайл «b785896f56d8-118227305.vk.flv», видеофайл «c7095125dl93-242724.vk,flv», аудиофайл «cb9eaa71184a.mp3», видеофайл «dlf30f3e9b.240.mp4», видеофайл «d61e4c32a775-74051905.vk.flv», видеофайл «e82e51a84e.360.mp4», видеофайл «f4c06dc627.480.mp4»",Видеофайл,Видеоролик,Видеоролик,Публицистика,видео,файл,,"видеофайл ""c7095125dl93-242724. vkflv"" ",0.0,,,Волошин Д.,,,vk.com,Волошин Д.,,,Удаленный сервер,???,,,0.0,vk.com,Заречный районный суд Свердловской области,2014-03-06 00:00:00,2018-12-05,персональный социальный димас видеоматериал видеофайл контакт волошин сеть аудиофайл страница аудио размещать,Национальная рознь
"Аудио и видеоматериалы, размещенные на персональной странице «Димас Волошин в социальной сети «В контакте», а именно: видеофайл «0abc3bll50cc-136345083.vk.flv», видеофайл «0ba556dbel.flv», аудиофайл «3bdca2a5ae72.mp3», видеофайл «3d5976833e03-81899545.vk.flv», видеофайл «7abd2853fl.flv», видеофайл «8ce707c41534-66234873.vk.flv», видеофайл «9ba749cb04.240.mp4», видеофайл «13e3130ed5.240.mp4», видеофайл «21db5217fbf9-1114205095.vk.flv», видеофайл «23edb54be47e-134611442.vk.flv», аудиофайл «35ac8512a9aa.mp3», аудиофайл «235dc10525c3.mp3», видеофайл «823fd39314.240.mp4», видеофайл «01526a0a5af2-107280514.vk.flv», видеофайл «b785896f56d8-118227305.vk.flv», видеофайл «c7095125dl93-242724.vk,flv», аудиофайл «cb9eaa71184a.mp3», видеофайл «dlf30f3e9b.240.mp4», видеофайл «d61e4c32a775-74051905.vk.flv», видеофайл «e82e51a84e.360.mp4», видеофайл «f4c06dc627.480.mp4»",Аудиофайл,Музыкальная композиция,Текст песни,Художественный текст,аудио,файл,not identified,"аудиофайл ""cb9eaa71184a. mp3"", ",0.0,,,Волошин Д.,,,vk.com,Волошин Д.,,,Удаленный сервер,???,,,0.0,vk.com,Заречный районный суд Свердловской области,2014-03-06 00:00:00,2018-12-05,персональный социальный димас видеоматериал видеофайл контакт волошин сеть аудиофайл страница аудио размещать,Национальная рознь
"Аудио и видеоматериалы, размещенные на персональной странице «Димас Волошин в социальной сети «В контакте», а именно: видеофайл «0abc3bll50cc-136345083.vk.flv», видеофайл «0ba556dbel.flv», аудиофайл «3bdca2a5ae72.mp3», видеофайл «3d5976833e03-81899545.vk.flv», видеофайл «7abd2853fl.flv», видеофайл «8ce707c41534-66234873.vk.flv», видеофайл «9ba749cb04.240.mp4», видеофайл «13e3130ed5.240.mp4», видеофайл «21db5217fbf9-1114205095.vk.flv», видеофайл «23edb54be47e-134611442.vk.flv», аудиофайл «35ac8512a9aa.mp3», аудиофайл «235dc10525c3.mp3», видеофайл «823fd39314.240.mp4», видеофайл «01526a0a5af2-107280514.vk.flv», видеофайл «b785896f56d8-118227305.vk.flv», видеофайл «c7095125dl93-242724.vk,flv», аудиофайл «cb9eaa71184a.mp3», видеофайл «dlf30f3e9b.240.mp4», видеофайл «d61e4c32a775-74051905.vk.flv», видеофайл «e82e51a84e.360.mp4», видеофайл «f4c06dc627.480.mp4»",Видеофайл,Видеоролик,Видеоролик,Публицистика,видео,файл,,"видеофайл ""dlf30f3e9b. 240. mp4"" ",0.0,,,Волошин Д.,,,vk.com,Волошин Д.,,,Удаленный сервер,???,,,0.0,vk.com,Заречный районный суд Свердловской области,2014-03-06 00:00:00,2018-12-05,персональный социальный димас видеоматериал видеофайл контакт волошин сеть аудиофайл страница аудио размещать,Национальная рознь
"Аудио и видеоматериалы, размещенные на персональной странице «Димас Волошин в социальной сети «В контакте», а именно: видеофайл «0abc3bll50cc-136345083.vk.flv», видеофайл «0ba556dbel.flv», аудиофайл «3bdca2a5ae72.mp3», видеофайл «3d5976833e03-81899545.vk.flv», видеофайл «7abd2853fl.flv», видеофайл «8ce707c41534-66234873.vk.flv», видеофайл «9ba749cb04.240.mp4», видеофайл «13e3130ed5.240.mp4», видеофайл «21db5217fbf9-1114205095.vk.flv», видеофайл «23edb54be47e-134611442.vk.flv», аудиофайл «35ac8512a9aa.mp3», аудиофайл «235dc10525c3.mp3», видеофайл «823fd39314.240.mp4», видеофайл «01526a0a5af2-107280514.vk.flv», видеофайл «b785896f56d8-118227305.vk.flv», видеофайл «c7095125dl93-242724.vk,flv», аудиофайл «cb9eaa71184a.mp3», видеофайл «dlf30f3e9b.240.mp4», видеофайл «d61e4c32a775-74051905.vk.flv», видеофайл «e82e51a84e.360.mp4», видеофайл «f4c06dc627.480.mp4»",Видеофайл,Видеоролик,Видеоролик,Публицистика,видео,файл,,"видеофайл ""d61e4c32a775-74051905. vk. flv"" ",0.0,,,Волошин Д.,,,vk.com,Волошин Д.,,,Удаленный сервер,???,,,0.0,vk.com,Заречный районный суд Свердловской области,2014-03-06 00:00:00,2018-12-05,персональный социальный димас видеоматериал видеофайл контакт волошин сеть аудиофайл страница аудио размещать,Национальная рознь
"Аудио и видеоматериалы, размещенные на персональной странице «Димас Волошин в социальной сети «В контакте», а именно: видеофайл «0abc3bll50cc-136345083.vk.flv», видеофайл «0ba556dbel.flv», аудиофайл «3bdca2a5ae72.mp3», видеофайл «3d5976833e03-81899545.vk.flv», видеофайл «7abd2853fl.flv», видеофайл «8ce707c41534-66234873.vk.flv», видеофайл «9ba749cb04.240.mp4», видеофайл «13e3130ed5.240.mp4», видеофайл «21db5217fbf9-1114205095.vk.flv», видеофайл «23edb54be47e-134611442.vk.flv», аудиофайл «35ac8512a9aa.mp3», аудиофайл «235dc10525c3.mp3», видеофайл «823fd39314.240.mp4», видеофайл «01526a0a5af2-107280514.vk.flv», видеофайл «b785896f56d8-118227305.vk.flv», видеофайл «c7095125dl93-242724.vk,flv», аудиофайл «cb9eaa71184a.mp3», видеофайл «dlf30f3e9b.240.mp4», видеофайл «d61e4c32a775-74051905.vk.flv», видеофайл «e82e51a84e.360.mp4», видеофайл «f4c06dc627.480.mp4»",Видеофайл,Видеоролик,Видеоролик,Публицистика,видео,файл,,"видеофайл ""e82e51a84e. 360. mp4"" ",0.0,,,Волошин Д.,,,vk.com,Волошин Д.,,,Удаленный сервер,???,,,0.0,vk.com,Заречный районный суд Свердловской области,2014-03-06 00:00:00,2018-12-05,персональный социальный димас видеоматериал видеофайл контакт волошин сеть аудиофайл страница аудио размещать,Национальная рознь
"Аудио и видеоматериалы, размещенные на персональной странице «Димас Волошин в социальной сети «В контакте», а именно: видеофайл «0abc3bll50cc-136345083.vk.flv», видеофайл «0ba556dbel.flv», аудиофайл «3bdca2a5ae72.mp3», видеофайл «3d5976833e03-81899545.vk.flv», видеофайл «7abd2853fl.flv», видеофайл «8ce707c41534-66234873.vk.flv», видеофайл «9ba749cb04.240.mp4», видеофайл «13e3130ed5.240.mp4», видеофайл «21db5217fbf9-1114205095.vk.flv», видеофайл «23edb54be47e-134611442.vk.flv», аудиофайл «35ac8512a9aa.mp3», аудиофайл «235dc10525c3.mp3», видеофайл «823fd39314.240.mp4», видеофайл «01526a0a5af2-107280514.vk.flv», видеофайл «b785896f56d8-118227305.vk.flv», видеофайл «c7095125dl93-242724.vk,flv», аудиофайл «cb9eaa71184a.mp3», видеофайл «dlf30f3e9b.240.mp4», видеофайл «d61e4c32a775-74051905.vk.flv», видеофайл «e82e51a84e.360.mp4», видеофайл «f4c06dc627.480.mp4»",Видеофайл,Видеоролик,Видеоролик,Публицистика,видео,файл,,"видеофайл ""f4c06dc627. 480. mp4""",0.0,,,Волошин Д.,,,vk.com,Волошин Д.,,,Удаленный сервер,???,,,0.0,vk.com,Заречный районный суд Свердловской области,2014-03-06 00:00:00,2018-12-05,персональный социальный димас видеоматериал видеофайл контакт волошин сеть аудиофайл страница аудио размещать,Национальная рознь
"Материалы – видеофайл, фотографии и текст, расположенные в сети «Интернет» на сайте «vkontakte.ru» по адресу: http://vkontakte.ru/id46177005",Видеофайл (фотографии и текст),Страница соц.сети,Аккаунт соц.сети / группа,Публицистика,мультимедиа,веб-сайт,,Аккаунт ВК (id46177005),0.0,,,,,,vk.com,,,,Удаленный сервер,not identified,,,0.0,vk.com/id46177005,Нижневартовский городской суд Ханты-Мансийского АО,2012-03-01 00:00:00,2018-12-07,текст располагать интернет адрес видеофайл сайт материал сеть фотография,Национальная рознь
"Страница, созданная неустановленными лицами по адресу: «ww.vd.ad»",Страница,Страница соц.сети,Аккаунт соц.сети / группа,Публицистика,мультимедиа,веб-сайт,,"Страница в соц.сети ""vd.ad""",0.0,,,,,,vk.com,,,,Удаленный сервер,???,,"Предположительно, ВК",0.0,vk.com,Октябрьский районный суд Ростова-на-Дону,2015-10-26 00:00:00,2018-12-21,создавать адрес лицо неустановленный страница,Национальная рознь
"Книга Дрозд Б.Д. «Вождь «враждебной рати», разгаданная тайна Александра Блока», изданная издательской фирмой «Жар-Птица» г.Хабаровск в 2011 году на 248 страницах, тираж 50 экземпляров",Книга,Книга,Непериодическое издание,Публицистика,текст,непериодическое издание,Дрозд Б.Д.,Вождь враждебной рати: разгаданная тайна Александра Блока,2.0,,,Жар-Птица,Жар-Птица,Жар-Птица,,,Хабаровск,2011,Бумага,???,,,1.0,,Ленинский районный суд Комсомольска-на-Амуре Хабаровского края,2018-10-23 00:00:00,2019-01-22,фирма жар-птица вождь дрозд хабаровск враждебный рать разгадывать книга тайна страница экземпляр блок александр д тираж г издательский год издавать,Национальная рознь
"Видео-, аудиозапись и текст песни под названием «Твой нож разберется», начинающиеся словами «Интернационалисты загалдели…» и заканчивающиеся словами «.. .твой нож разберется» (решение Абаканского городского суда Республики Хакасия от 29.04.2021);","Видео-, аудиозапись и текст песни",Музыкальная композиция,Текст песни,Художественный текст,видео,файл,,Твой нож разберется,1.0,,,,,,ne ukaz,,,,Удаленный сервер,,,,0.0,ne ukaz,Абаканский городской суд Республики Хакасия,2021-04-29 00:00:00,2021-06-25,суд текст нож заканчиваться начинаться слово разбираться интернационалист решение песня хакасия абаканский республика городской загалдеть видео название аудиозапись,Национальная рознь
"Информационный материал в виде текста, начинающегося со слов: «Этот текст о герое Михаиле Жлобицком мы опубликовали год назад» или «Что можно сказать о атаке в Архангельске», заканчивающегося словами: «Вечная память Герою!» (решение Центрального районного суда города Воронежа от 10.06.2021);",Информационный материал в виде текста,Пост в соц.сети,Интерактивный текст на сайте,Политический текст,текст,файл,,Этот текст о герое Михаиле Жлобицком мы опубликовали год назад,1.0,,,,,,ne ukaz,,,,Удаленный сервер,Против власти,,,1.0,ne ukaz,Центральный районный суд города Воронежа ,2021-06-10 00:00:00,2021-08-17,сказать центральный начинаться жлобицкий решение архангельск память герой можно опубликовывать заканчиваться город районный атака слово информационный михаил вид суд текст воронеж вечный материал год,Национальная рознь
